,city,temp,cloudiness,country,date,humidity,lat,lng,max temp,wind speed
281,dingle,77.14,88.0,BR,1586233058.0,88.0,-1.8,-53.48,77.14,3.13
282,almeirim,81.48,40.0,MU,1586233059.0,74.0,-19.98,57.61,82.0,12.75
283,malartic,76.1,79.0,IN,1586233060.0,38.0,28.17,94.77,76.1,2.86
284,arlit,29.25,47.0,RU,1586233062.0,91.0,57.8,158.67,29.25,3.24
285,abha,83.61,100.0,VU,1586233063.0,79.0,-13.88,167.55,83.61,17.85
286,mount gambier,80.6,40.0,BB,1586233065.0,78.0,13.22,-59.52,80.6,16.11
287,sungurlu,63.95,33.0,ET,1586233066.0,53.0,6.98,35.58,63.95,3.0
288,pangody,49.71,83.0,RU,1586233067.0,61.0,52.27,79.17,49.71,12.39
289,sitka,26.67,100.0,RU,1586233069.0,97.0,63.87,34.32,26.67,10.96
290,mukhen,44.6,28.0,CL,1586233070.0,81.0,-45.58,-72.07,44.6,5.82
291,saldanha,62.76,0.0,EG,1586232938.0,42.0,26.77,31.5,66.2,10.29
292,echternach,50.0,97.0,RU,1586233072.0,46.0,56.17,92.68,50.0,11.18
293,baie-saint-paul,70.05,100.0,VN,1586233073.0,88.0,18.67,105.67,70.05,7.56
294,quepos,82.62,65.0,PG,1586233075.0,78.0,-2.67,141.3,82.62,9.73
295,kungurtug,89.6,40.0,ID,1586233076.0,66.0,-3.7,128.18,89.6,6.93
296,tafresh,54.0,75.0,ES,1586233077.0,87.0,42.78,-9.06,60.01,6.93
297,port lincoln,80.15,81.0,PK,1586233078.0,65.0,24.14,67.45,80.15,9.35
298,coquimbo,87.19,54.0,ID,1586233079.0,61.0,-6.89,109.68,87.19,2.95
299,barentsburg,30.2,75.0,NO,1586233081.0,86.0,70.37,31.11,30.2,14.99
300,nanortalik,68.0,55.0,ZW,1586233082.0,68.0,-18.19,31.55,68.0,5.82
301,rampura,57.27,100.0,AU,1586233083.0,60.0,-38.27,141.97,57.27,6.55
302,phan rang,27.95,100.0,RU,1586233084.0,89.0,63.91,38.14,27.95,8.59
303,shchelyayur,84.7,38.0,PG,1586233086.0,69.0,-3.67,152.43,84.7,9.64
304,iqaluit,77.18,33.0,GH,1586232967.0,82.0,7.0,0.29,77.18,3.87
305,auchi,44.67,70.0,JP,1586232847.0,66.0,42.47,140.87,44.67,5.79
306,walvis bay,72.66,92.0,BI,1586233089.0,49.0,-3.38,29.36,72.66,0.85
307,belushya guba,56.64,1.0,US,1586233091.0,100.0,41.06,-94.36,59.0,9.17
308,norman wells,60.96,75.0,JP,1586233092.0,47.0,34.98,139.87,64.0,8.05
309,lewiston,26.38,10.0,RU,1586233093.0,89.0,59.7,150.17,26.38,2.37
310,labuhan,77.0,90.0,BR,1586232823.0,83.0,-20.33,-40.29,77.0,6.93
311,lixourion,60.8,0.0,CN,1586233096.0,14.0,39.45,75.98,60.8,8.95
312,storforshei,86.54,1.0,ID,1586233097.0,61.0,-3.33,128.92,86.54,3.33
313,prainha,43.41,64.0,GB,1586233098.0,81.0,51.79,1.16,48.0,6.93
314,cap malheureux,86.0,20.0,LK,1586233100.0,74.0,6.12,81.12,86.0,3.36
315,along,68.77,0.0,CN,1586233101.0,30.0,35.26,117.97,68.77,6.44
316,tigil,53.31,0.0,CN,1586233102.0,33.0,40.13,124.39,53.31,15.03
317,vylgort,28.49,100.0,RU,1586233103.0,97.0,62.67,131.17,28.49,2.55
318,sola,81.07,97.0,AO,1586233104.0,87.0,-5.55,12.2,81.07,7.47
319,kadykchan,25.74,36.0,RU,1586233106.0,90.0,59.58,151.28,25.74,1.81
320,bathsheba,79.48,66.0,BR,1586233107.0,86.0,-2.75,-42.83,79.48,8.25
321,mizan teferi,19.87,98.0,RU,1586233108.0,96.0,63.37,47.92,19.87,7.31
322,klyuchi,55.81,70.0,BR,1586233109.0,75.0,-28.06,-50.94,55.81,2.46
323,nadvoitsy,43.59,100.0,CA,1586233110.0,53.0,43.75,-81.72,45.0,5.41
324,coihaique,61.52,100.0,PT,1586233112.0,96.0,39.05,-27.98,61.52,18.54
325,tahta,48.07,1.0,US,1586233113.0,32.0,41.27,-73.32,55.0,3.36
326,yemelyanovo,26.6,40.0,RU,1586233114.0,92.0,69.49,88.4,26.6,17.9
327,vinh,52.74,0.0,CL,1586232986.0,76.0,-33.04,-71.63,53.6,4.7
328,vanimo,77.81,50.0,BR,1586233117.0,90.0,-2.92,-39.92,77.81,5.79
329,ambon,33.01,0.0,RO,1586233118.0,63.0,46.43,26.4,37.0,1.88
330,muros,35.19,100.0,RU,1586233119.0,62.0,46.49,135.88,35.19,2.91
331,keti bandar,22.19,72.0,IN,1586233120.0,26.0,34.17,77.58,22.19,3.38
332,pekalongan,40.21,78.0,EE,1586233122.0,71.0,59.43,26.26,40.21,11.7
333,vardo,82.67,18.0,IN,1586233123.0,21.0,28.03,74.47,82.67,10.98
334,marondera,84.06,22.0,MV,1586233124.0,66.0,-0.6,73.08,84.06,5.23
335,codrington,32.85,1.0,CA,1586233125.0,69.0,46.36,-79.93,33.8,3.0
336,onega,4.03,76.0,RU,1586233126.0,88.0,69.7,170.31,4.03,16.71
337,namatanai,76.87,0.0,ML,1586233128.0,14.0,18.44,1.41,76.87,14.09
338,kpandu,83.44,97.0,ID,1586233129.0,78.0,-4.94,122.53,83.44,4.14
339,date,23.86,56.0,RU,1586233130.0,93.0,60.41,44.24,23.86,7.61
340,alotau,75.0,20.0,PE,1586233131.0,66.0,-15.43,-74.62,75.0,2.82
341,bujumbura,33.49,94.0,IS,1586233133.0,87.0,64.89,-23.71,33.49,22.95
342,creston,23.0,87.0,CA,1586233134.0,82.0,54.12,-112.47,23.0,3.0
343,tateyama,80.6,40.0,MX,1586233135.0,94.0,14.72,-92.42,80.6,3.56
344,arman,71.91,90.0,US,1586233067.0,94.0,30.17,-96.4,73.99,4.7
345,inderborskiy,81.0,82.0,SL,1586233137.0,89.0,7.53,-12.51,81.0,5.46
346,vila velha,60.44,3.0,MX,1586233139.0,68.0,30.48,-115.95,60.44,4.68
347,kashi,72.21,99.0,CD,1586233140.0,85.0,2.18,22.47,72.21,1.57
348,umzimvubu,73.49,94.0,MX,1586233141.0,74.0,19.22,-104.7,73.49,10.94
349,amahai,38.91,8.0,FR,1586233143.0,86.0,46.42,3.91,43.0,2.06
350,clacton-on-sea,80.19,0.0,MX,1586233144.0,66.0,15.85,-97.07,80.19,4.36
351,hambantota,84.52,10.0,MV,1586233145.0,66.0,6.62,73.07,84.52,2.77
352,feicheng,79.92,0.0,MX,1586233146.0,83.0,20.87,-90.4,79.92,18.66
353,dandong,80.47,8.0,IN,1586233147.0,51.0,23.57,70.63,80.47,10.47
354,borogontsy,17.92,100.0,RU,1586233149.0,97.0,66.83,70.83,17.92,4.47
355,cabinda,87.8,40.0,AU,1586233150.0,66.0,-12.23,136.77,87.8,11.41
356,ola,71.46,100.0,BR,1586233151.0,93.0,-24.71,-47.56,71.46,5.57
357,barreirinhas,62.53,75.0,AU,1586233152.0,63.0,-35.57,138.62,68.0,12.75
358,blagoyevo,48.2,75.0,JP,1586233154.0,61.0,43.32,145.57,48.2,11.41
359,estrela,55.94,75.0,IT,1586233155.0,87.0,38.28,16.3,57.0,4.36
360,goderich,91.72,0.0,IN,1586233156.0,13.0,23.8,86.21,91.72,6.33
361,lagoa,62.56,22.0,NZ,1586233157.0,77.0,-41.41,175.52,64.4,21.92
362,fairfield,82.83,99.0,PG,1586233159.0,74.0,-2.02,147.27,82.83,2.55
363,talnakh,52.11,0.0,IT,1586233160.0,93.0,40.73,13.86,57.0,6.93
364,valparaiso,94.44,8.0,PH,1586233161.0,42.0,6.7,124.57,94.44,2.57
365,itarema,83.89,3.0,IN,1586233162.0,75.0,8.08,77.57,83.89,9.08
366,asau,82.42,1.0,PH,1586233164.0,69.0,12.22,125.48,82.42,8.68
367,vostok,84.04,97.0,MV,1586233165.0,64.0,3.78,72.97,84.04,2.04
368,leh,34.68,90.0,NO,1586233166.0,80.0,71.0,24.66,35.6,31.09
369,haljala,30.92,85.0,CA,1586233167.0,95.0,47.57,-59.14,30.92,21.68
370,rajaldesar,24.49,100.0,RU,1586233169.0,95.0,60.47,166.1,24.49,11.65
371,hithadhoo,37.4,100.0,RU,1586233170.0,95.0,60.73,77.59,37.4,15.66
372,sturgeon falls,23.18,100.0,CA,1586233171.0,84.0,60.75,-137.51,23.18,3.06
373,pevek,66.2,20.0,ES,1586233173.0,77.0,28.66,-17.92,66.2,5.82
374,kidal,75.72,96.0,BR,1586233174.0,82.0,-12.48,-49.12,75.72,2.55
375,katobu,81.48,40.0,MU,1586233175.0,74.0,-20.01,57.66,82.0,12.75
376,nyuksenitsa,61.68,97.0,ZM,1586233176.0,65.0,-9.37,30.12,61.68,1.68
377,acari,78.8,60.0,VE,1586233178.0,94.0,11.03,-63.86,78.8,19.46
378,olafsvik,34.72,100.0,IR,1586233179.0,57.0,38.48,47.07,34.72,7.58
379,smoky lake,70.34,32.0,CG,1586233180.0,83.0,1.65,14.58,70.34,2.17
380,puerto madero,34.23,100.0,RU,1586233181.0,95.0,63.76,121.62,34.23,9.48
381,brenham,15.51,100.0,RU,1586233183.0,94.0,65.99,57.53,15.51,12.57
382,bonthe,61.57,15.0,UZ,1586233184.0,59.0,40.43,71.72,62.6,2.24
383,san quintin,12.2,1.0,CA,1586233185.0,66.0,70.47,-68.59,12.2,25.28
384,bumba,54.55,100.0,IQ,1586233186.0,67.0,36.32,41.88,54.55,3.47
385,rawannawi,79.09,67.0,MX,1586233188.0,64.0,17.67,-96.13,79.09,2.82
386,san patricio,60.8,0.0,NA,1586233189.0,67.0,-26.65,15.16,60.8,21.92
387,saint-francois,67.21,0.0,AR,1586233190.0,58.0,-26.79,-60.44,67.21,7.94
388,puerto escondido,39.27,100.0,MN,1586233192.0,32.0,45.76,106.27,39.27,18.43
389,kulhudhuffushi,79.38,0.0,OM,1586233193.0,16.0,22.93,57.53,79.38,3.04
390,celestun,71.6,0.0,CV,1586233194.0,78.0,14.92,-23.51,71.6,13.87
391,rapar,63.37,54.0,AR,1586233020.0,25.0,-31.54,-68.54,63.37,6.35
392,yar-sale,79.97,7.0,PK,1586233197.0,53.0,25.12,62.33,79.97,5.08
393,nhulunbuy,62.98,99.0,AU,1586233198.0,67.0,-34.75,149.72,64.99,3.65
394,iguape,85.26,16.0,ID,1586233199.0,65.0,5.56,95.32,85.26,4.45
395,victor harbor,81.18,0.0,OM,1586233200.0,48.0,22.57,59.53,81.18,3.89
396,nemuro,43.93,55.0,GB,1586233087.0,93.0,51.38,1.39,50.0,3.94
397,siderno,77.0,75.0,BR,1586233203.0,83.0,-16.28,-39.02,77.0,2.24
398,baghmara,48.92,90.0,US,1586233002.0,76.0,34.06,-117.18,55.0,3.09
399,waipawa,53.6,54.0,KZ,1586232994.0,66.0,50.41,80.23,53.6,13.42
400,lorengau,69.91,98.0,VE,1586233206.0,64.0,7.77,-72.22,69.91,1.41
401,forio,47.55,81.0,RU,1586233208.0,51.0,45.25,133.5,47.55,4.52
402,matiompong,35.96,100.0,IS,1586233209.0,77.0,63.44,-20.27,35.96,33.06
403,kanniyakumari,38.01,100.0,RU,1586233210.0,61.0,51.12,133.02,38.01,5.06
404,alugan,39.25,49.0,RU,1586233211.0,49.0,52.47,96.11,39.25,1.86
405,mahibadhoo,6.4,40.0,US,1586233213.0,77.0,64.5,-165.41,6.8,8.05
406,havoysund,49.89,98.0,ES,1586233214.0,61.0,39.77,2.72,52.0,2.24
407,channel-port aux basques,37.4,90.0,CA,1586233215.0,51.0,58.81,-122.7,37.4,6.93
408,tilichiki,24.89,100.0,RU,1586233216.0,91.0,55.35,59.7,24.89,12.24
409,palabuhanratu,60.17,1.0,KR,1586233110.0,54.0,37.57,126.98,62.6,5.82
410,strezhevoy,72.37,76.0,MX,1586233219.0,77.0,18.73,-103.68,72.37,4.29
411,haines junction,33.35,100.0,FI,1586233220.0,88.0,66.71,27.43,33.35,8.52
412,los llanos de aridane,66.34,75.0,US,1586233221.0,72.0,38.7,-93.23,69.8,12.75
413,alvorada,69.04,1.0,CF,1586233223.0,64.0,8.08,22.4,69.04,3.53
414,grand gaube,52.68,75.0,US,1586233224.0,93.0,36.29,-76.25,55.99,4.85
415,mporokoso,33.67,81.0,TR,1586233225.0,58.0,40.91,37.68,33.67,5.7
416,la asuncion,51.69,91.0,SY,1586233226.0,77.0,35.3,37.18,51.69,7.34
417,ahar,59.29,30.0,ET,1586233228.0,54.0,7.28,36.23,59.29,1.7
418,sembe,74.41,42.0,PH,1586233229.0,86.0,20.45,121.97,74.41,21.74
419,vilyuysk,61.65,100.0,CD,1586233230.0,67.0,-10.88,26.6,61.65,0.36
420,usinsk,77.88,1.0,QA,1586233231.0,31.0,25.21,50.81,80.01,6.93
421,komsomolskiy,10.76,0.0,RU,1586233233.0,85.0,63.05,179.32,10.76,1.74
422,clyde river,71.35,20.0,PE,1586233234.0,94.0,-13.7,-76.22,71.6,4.7
423,sinjar,86.0,40.0,ID,1586233235.0,89.0,-8.19,114.97,86.0,6.93
424,aflu,51.8,0.0,IR,1586233237.0,32.0,32.87,59.22,51.8,9.17
425,ayotzintepec,73.4,90.0,PE,1586233157.0,64.0,-18.01,-70.25,73.4,2.24
426,luderitz,45.25,0.0,RU,1586233239.0,49.0,42.43,130.64,45.25,19.22
427,presidencia roque saenz pena,41.0,75.0,CA,1586233241.0,93.0,50.7,-127.42,41.0,4.7
428,mandalgovi,30.25,100.0,RU,1586233242.0,97.0,54.91,64.43,30.25,26.66
429,nizwa,39.02,0.0,GB,1586233243.0,76.0,54.08,-0.19,44.01,4.74
430,praia,29.68,100.0,CA,1586233244.0,93.0,54.77,-101.86,29.68,12.73
431,san juan,69.49,90.0,US,1586233245.0,94.0,20.89,-156.47,71.6,8.68
432,gwadar,42.31,66.0,NO,1586233247.0,75.0,62.58,6.13,44.6,19.46
433,goulburn,40.15,0.0,CH,1586233091.0,86.0,47.05,8.31,46.0,2.24
434,banda aceh,79.63,70.0,BR,1586233249.0,87.0,-3.28,-39.27,79.63,6.53
435,sur,71.55,13.0,RE,1586233251.0,73.0,-21.34,55.48,78.8,9.17
436,margate,76.21,90.0,AU,1586233184.0,78.0,-17.0,145.43,80.01,9.17
437,santa cruz cabralia,84.9,0.0,IN,1586233253.0,28.0,26.0,92.87,84.9,1.57
438,redlands,81.34,99.0,CO,1586233254.0,76.0,11.71,-72.27,81.34,18.23
439,semey,34.23,75.0,RU,1586233256.0,93.0,56.35,78.36,34.23,10.63
440,san cristobal,19.26,30.0,RU,1586233257.0,91.0,61.95,159.23,19.26,2.71
441,gornyye klyuchi,72.88,6.0,BR,1586233258.0,84.0,-9.22,-37.75,72.88,5.3
442,vestmannaeyjar,77.0,75.0,SA,1586233019.0,41.0,24.69,46.72,77.0,3.36
443,chegdomyn,51.71,1.0,US,1586233261.0,87.0,44.31,-94.46,53.6,11.41
444,toora-khem,22.32,79.0,CA,1586233262.0,92.0,51.5,-107.05,22.32,7.09
445,nome,33.49,54.0,RU,1586233263.0,93.0,63.28,118.33,33.49,8.43
446,soller,42.01,76.0,IE,1586233264.0,88.0,54.63,-8.45,42.01,5.99
447,fort nelson,63.59,1.0,US,1586233054.0,93.0,30.33,-81.66,66.99,5.66
448,magnitka,37.53,66.0,RU,1586233267.0,53.0,51.17,94.5,37.53,1.28
449,seoul,45.7,40.0,US,1586233035.0,81.0,36.62,-121.92,48.99,4.7
450,coahuayana,33.84,92.0,RU,1586233269.0,81.0,58.96,126.29,33.84,3.33
451,kemijarvi,33.76,100.0,RU,1586233271.0,96.0,63.2,75.45,33.76,21.0
452,sedalia,91.71,0.0,IN,1586233272.0,15.0,25.05,87.83,91.71,8.03
453,sorvag,55.96,43.0,ET,1586233273.0,50.0,5.65,37.37,55.96,1.19
454,ouadda,65.3,11.0,CL,1586233274.0,72.0,-25.4,-70.48,65.3,2.37
455,elizabeth city,57.2,3.0,KZ,1586233276.0,54.0,49.96,82.61,57.2,2.24
456,ordu,66.2,40.0,CN,1586233277.0,68.0,22.82,108.32,66.2,4.47
457,abu samrah,72.88,100.0,VN,1586233278.0,84.0,17.48,106.6,72.88,6.82
458,bonga,84.09,52.0,PF,1586233279.0,79.0,-17.83,-149.27,84.2,9.17
459,basco,36.66,0.0,SE,1586233281.0,74.0,60.0,15.79,41.0,4.7
460,kambove,84.07,85.0,SB,1586233282.0,75.0,-8.1,156.84,84.07,11.77
461,umm bab,51.8,12.0,AR,1586233284.0,50.0,-51.62,-69.22,51.8,12.75
462,andarab,77.0,75.0,MX,1586233285.0,73.0,20.7,-105.2,77.0,4.7
463,lolua,78.28,0.0,ML,1586233286.0,16.0,22.68,-3.98,78.28,14.38
464,beringovskiy,82.29,0.0,PH,1586233288.0,69.0,12.18,125.51,82.29,8.66
465,pisco,93.2,99.0,AU,1586233289.0,36.0,-15.77,128.73,93.2,10.29
466,banjar,63.0,40.0,CN,1586233290.0,61.0,32.44,105.82,71.01,1.99
467,halalo,60.3,88.0,UZ,1586233292.0,67.0,39.72,64.55,60.8,9.17
468,birjand,76.37,19.0,TC,1586233252.0,70.0,21.46,-71.14,76.37,12.66
469,tacna,60.01,4.0,NA,1586233294.0,91.0,-22.12,14.28,60.01,1.99
470,khasan,86.07,21.0,PG,1586233295.0,68.0,-5.22,145.8,86.07,2.46
471,port hardy,84.87,0.0,NE,1586233025.0,13.0,13.0,8.91,84.87,10.74
472,kurtamysh,85.23,87.0,ID,1586233298.0,70.0,-8.05,111.72,85.23,4.43
473,bridlington,75.83,94.0,GY,1586233299.0,87.0,8.2,-59.78,75.83,6.15
474,flin flon,74.16,77.0,CF,1586233300.0,79.0,4.8,18.13,74.16,4.41
475,kahului,83.34,1.0,NG,1586233301.0,41.0,12.41,4.49,83.34,9.44
476,roald,68.05,40.0,CN,1586233303.0,88.0,22.28,113.57,71.01,10.29
477,luzern,78.8,5.0,MX,1586233304.0,83.0,16.86,-99.89,78.8,8.05
478,toftir,77.0,71.0,AU,1586233305.0,33.0,-27.18,151.27,77.0,5.82
479,trairi,69.1,82.0,CN,1586233306.0,73.0,22.88,116.07,69.1,9.22
480,saint-pierre,48.87,1.0,US,1586233248.0,32.0,41.14,-73.36,55.99,3.36
481,manzil tamim,60.87,0.0,EG,1586233309.0,54.0,28.42,30.78,60.87,16.53
482,mareeba,80.6,75.0,BR,1586233310.0,100.0,0.04,-51.07,80.6,3.36
483,hojai,59.63,8.0,KZ,1586233311.0,50.0,45.25,77.98,59.63,5.37
484,uribia,84.7,97.0,SB,1586233312.0,75.0,-8.14,159.59,84.7,7.23
485,severnoye,76.14,7.0,SD,1586233314.0,15.0,12.35,29.25,76.14,3.58
486,evensk,43.38,9.0,RU,1586233315.0,60.0,42.73,133.08,43.38,19.48
487,inhapi,75.85,89.0,BR,1586233316.0,79.0,-6.11,-38.21,75.85,2.13
488,riyadh,85.57,67.0,ID,1586233317.0,59.0,-0.95,100.35,85.57,2.17
489,new ulm,70.9,0.0,MG,1586233319.0,83.0,-25.17,45.05,70.9,7.34
490,outlook,63.99,20.0,JP,1586233320.0,59.0,33.17,130.4,66.99,10.29
491,nyurba,42.24,67.0,GB,1586233108.0,100.0,51.13,0.26,50.0,2.55
492,killybegs,59.99,6.0,AR,1586233322.0,86.0,-26.62,-54.13,59.99,2.86
493,jacksonville,25.2,75.0,CA,1586233305.0,68.0,60.72,-135.05,26.6,10.29
494,bay-khaak,33.01,100.0,CA,1586233325.0,87.0,48.65,-53.11,33.01,11.99
495,meyungs,77.94,0.0,ML,1586233326.0,15.0,20.0,-3.0,77.94,13.11
496,pacific grove,80.37,8.0,IN,1586233327.0,28.0,29.98,75.38,80.37,5.28
497,tommot,63.0,95.0,AU,1586233329.0,59.0,-37.88,147.98,63.0,7.0
498,noyabrsk,72.84,70.0,PE,1586233330.0,80.0,-6.84,-79.93,72.84,10.45
499,rajmahal,42.98,47.0,FR,1586233331.0,81.0,49.58,0.33,46.0,4.7
500,gidole,75.76,99.0,BR,1586233332.0,97.0,-3.29,-45.17,75.76,1.79
501,taltal,45.9,100.0,TM,1586233334.0,55.0,39.51,54.37,45.9,2.93
502,oskemen,64.4,90.0,AR,1586233335.0,88.0,-26.82,-65.22,64.4,5.82
503,nanning,88.07,83.0,PG,1586233336.0,57.0,-8.75,148.25,88.07,4.63
504,dong hoi,43.0,1.0,US,1586233337.0,24.0,37.35,-108.59,46.4,6.93
505,teahupoo,29.32,13.0,RU,1586233338.0,89.0,59.24,163.07,29.32,3.18
506,fagersta,74.25,19.0,BR,1586233340.0,72.0,-9.84,-39.48,74.25,8.5
507,gizo,45.37,40.0,US,1586233341.0,31.0,39.55,-107.32,50.0,8.05
508,rio gallegos,78.8,0.0,MZ,1586233342.0,83.0,-23.86,35.38,78.8,13.87
509,ixtapa,58.39,3.0,CN,1586233344.0,15.0,40.28,97.2,58.39,4.94
510,taoudenni,81.79,39.0,SO,1586233345.0,75.0,5.35,48.53,81.79,11.56
511,san policarpo,30.42,65.0,IS,1586233346.0,88.0,64.25,-15.21,30.42,20.51
512,kununurra,56.53,82.0,NA,1586233347.0,82.0,-28.55,16.43,56.53,7.29
513,guangyuan,53.83,90.0,US,1586233320.0,100.0,33.16,-117.35,57.99,5.82
514,kogon,50.65,75.0,IT,1586233350.0,93.0,37.21,14.64,55.0,3.36
515,cockburn town,30.99,0.0,CA,1586233351.0,89.0,50.58,-111.89,30.99,4.0
516,henties bay,37.4,4.0,GB,1586233352.0,93.0,55.76,-4.86,39.0,3.36
517,madang,69.39,83.0,CM,1586233353.0,76.0,5.6,14.08,69.39,2.53
518,magaria,86.81,44.0,IN,1586233355.0,63.0,18.3,83.9,86.81,6.69
519,trenggalek,84.09,42.0,PF,1586233356.0,79.0,-17.53,-149.33,84.2,9.17
520,mabaruma,45.41,75.0,US,1586233243.0,81.0,37.34,-121.89,48.2,5.82
521,boali,47.91,74.0,DE,1586233358.0,100.0,51.1,6.5,53.01,1.12
522,tari,26.6,40.0,RU,1586233360.0,92.0,69.41,86.18,26.6,17.9
523,zhuhai,61.83,89.0,CN,1586233361.0,49.0,23.37,104.28,61.83,6.4
524,acapulco,45.0,51.0,US,1586233297.0,56.0,42.34,-71.21,50.0,12.75
525,dalby,80.6,75.0,BR,1586233291.0,100.0,-0.12,-51.29,80.6,3.36
526,jiazi,30.79,0.0,RU,1586233365.0,41.0,50.0,88.67,30.79,1.57
527,westport,76.21,100.0,CI,1586233366.0,91.0,5.79,-6.61,76.21,2.26
528,matay,83.82,38.0,ID,1586233367.0,70.0,4.14,96.13,83.82,4.38
529,macapa,67.73,74.0,BO,1586233368.0,58.0,-19.8,-63.22,67.73,8.72
530,ushtobe,71.76,99.0,CD,1586233370.0,77.0,-6.47,16.82,71.76,0.94
531,buala,70.66,90.0,US,1586233176.0,83.0,30.22,-90.9,73.4,5.82
532,abu zabad,63.41,73.0,CN,1586233372.0,19.0,41.76,86.15,63.41,3.38
533,vrangel,52.65,90.0,US,1586233373.0,71.0,35.59,-119.34,54.0,6.93
534,pau dos ferros,80.98,0.0,SN,1586233374.0,19.0,12.56,-12.17,80.98,4.21
535,padang,78.39,0.0,GW,1586233376.0,70.0,11.28,-15.83,78.39,10.31
536,beloha,62.6,90.0,PT,1586233377.0,100.0,37.73,-25.67,62.6,12.75
537,yanagawa,58.39,90.0,US,1586233378.0,93.0,40.19,-92.58,59.0,7.16
538,royal tunbridge wells,73.4,0.0,MR,1586233379.0,46.0,18.09,-15.98,73.4,10.29
539,san vicente,70.61,90.0,US,1586233381.0,88.0,29.6,-90.72,73.4,6.93
540,whitehorse,82.4,20.0,CO,1586233382.0,83.0,12.58,-81.7,82.4,10.29
541,bonavista,22.73,0.0,RU,1586233383.0,89.0,60.87,60.42,22.73,8.28
542,tombouctou,77.0,82.0,BO,1586233384.0,81.0,-16.37,-58.4,77.0,3.83
543,mansa,20.75,24.0,RU,1586233386.0,90.0,69.3,139.9,20.75,18.52
544,lakes entrance,54.86,50.0,ZA,1586233387.0,63.0,-34.05,23.37,54.86,17.16
545,pimentel,64.54,99.0,TZ,1586233388.0,69.0,-3.83,32.6,64.54,4.56
546,havre,,,,,,,,,
547,penalva,,,,,,,,,
548,balkanabat,,,,,,,,,
549,tucuman,,,,,,,,,
550,popondetta,,,,,,,,,
551,cortez,,,,,,,,,
552,ossora,,,,,,,,,
553,uaua,,,,,,,,,
554,glenwood springs,,,,,,,,,
555,inhambane,,,,,,,,,
556,yumen,,,,,,,,,
557,hobyo,,,,,,,,,
558,hofn,,,,,,,,,
559,oranjemund,,,,,,,,,
560,carlsbad,,,,,,,,,
561,grammichele,,,,,,,,,
562,brooks,,,,,,,,,
563,fairlie,,,,,,,,,
564,betare oya,,,,,,,,,
565,srikakulam,,,,,,,,,
566,tiarei,,,,,,,,,
567,san jose,,,,,,,,,
568,juchen,,,,,,,,,
569,dudinka,,,,,,,,,
570,kaihua,,,,,,,,,
571,newton,,,,,,,,,
572,mazagao,,,,,,,,,
573,kosh-agach,,,,,,,,,
574,soubre,,,,,,,,,
575,meulaboh,,,,,,,,,
576,charagua,,,,,,,,,
577,kasongo-lunda,,,,,,,,,
578,ascension,,,,,,,,,
579,korla,,,,,,,,,
580,wasco,,,,,,,,,
581,kedougou,,,,,,,,,
582,bubaque,,,,,,,,,
583,ponta delgada,,,,,,,,,
584,kirksville,,,,,,,,,
585,nouakchott,,,,,,,,,
586,houma,,,,,,,,,
587,aporawan,,,,,,,,,
588,san andres,,,,,,,,,
589,polunochnoye,,,,,,,,,
590,san matias,,,,,,,,,
591,deputatskiy,,,,,,,,,
592,plettenberg bay,,,,,,,,,
593,kahama,,,,,,,,,
